Parliament,Session,Date of Vote,Vote Result,Vote Number,Vote Subject,Yeas,Nays,Paired,Honorific Title,FirstName
42,1,12/8/2015 6:30:34 PM,1,Address in Reply to the Speech from the Throne (subamendment),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,12/9/2015 3:00:00 PM,2,Ways and Means motion No. 1,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,12/10/2015 6:30:02 PM,3,Opposition Motion (Combat mission against ISIS),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,12/10/2015 6:40:32 PM,4,Concurrence in estimates,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,12/10/2015 6:50:50 PM,5,"2nd reading of Bill C-3, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2016",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,12/10/2015 7:00:00 PM,6,"Concurrence at report stage of Bill C-3, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2016",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,12/10/2015 7:30:25 PM,7,"3rd reading and adoption of Bill C-3, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2016",,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,1/25/2016 6:30:31 PM,8,Address in Reply to the Speech from the Throne (subamendment),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,1/25/2016 6:40:16 PM,9,Address in Reply to the Speech from the Throne (amendment),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,1/27/2016 6:30:32 PM,10,Address in Reply to the Speech from the Throne,,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,2/1/2016 6:45:01 PM,11,Opposition Motion (Energy East Pipeline project),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,2/3/2016 3:00:13 PM,12,Opposition Motion (Pay equity),,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
42,1,2/16/2016 3:00:29 PM,13,Opposition Motion (Department of Finance),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,2/22/2016 3:00:00 PM,14,Opposition Motion (Israel),,Ziad,Aboultaif,Edmonton Manning,Alberta,Yea
42,1,3/7/2016 6:45:18 PM,15,Opposition Motion (Employment Insurance),,Ziad,Aboultaif,Edmonton Manning,Alberta,Nay
